State,Temperature,Electricity_Price,UrbanRural_Classification,date,Time,Peak_Electricity_Demand,City
Maharashtra,13.11076837,9.022261389,Urban,31-05-2021,02:51,32141.1,Nashik
Gujarat,16.7125142,3.022150726,Urban,08-09-2022,23:50,14320.41,Surat
Gujarat,32.74249824,7.364445742,Urban,18-09-2019,00:57,55485.03,Rajkot
Delhi,41.98958261,8.50015915,Urban,11-11-2021,14:19,45603.3,Unknown
Madhya Pradesh,12.14880517,5.686981303,Urban,07-09-2023,05:16,28622.92,Jabalpur
Gujarat,8.29385983,9.185311918,Rural,13-07-2023,20:44,22290.2,Rajkot
Tamil Nadu,40.26124192,8.14984192,Urban,26-12-2019,01:18,43077.2,Salem
Karnataka,41.61111916,7.242337338,Urban,11-01-2023,05:00,16294.2,Bengaluru
Karnataka,16.05517381,4.388257348,Rural,21-05-2020,00:57,13895.1,Mysuru
Tamil Nadu,20.09142897,7.690727594,Rural,03-02-2020,21:58,50056.24,Coimbatore
Telangana,31.4075199,8.836368073,Urban,30-12-2020,06:08,2750.76,Unknown
Tamil Nadu,18.19720083,8.109363311,Urban,03-09-2022,21:21,6044.05,Chennai
Tamil Nadu,40.08634833,7.02399804,Urban,17-05-2019,09:26,1103.12,Chennai
Karnataka,9.303148109,8.002037871,Urban,08-09-2021,07:31,11111.38,Hubli
Rajasthan,6.519288838,9.838220012,Urban,29-01-2023,22:01,5327.48,Kota
Karnataka,13.33944827,3.075630387,Rural,18-09-2020,20:13,59238.19,Bengaluru
Madhya Pradesh,16.44351113,7.64750033,Rural,29-05-2020,14:42,20490.69,Jabalpur
Delhi,9.517063652,8.550948065,Urban,23-12-2020,17:44,9426.28,Unknown
Uttar Pradesh,7.627617174,7.47224068,Urban,09-05-2019,02:33,15290.04,Agra
Rajasthan,35.22430854,4.911644674,Rural,26-01-2019,00:24,65507.77,Udaipur
Maharashtra,11.57106264,8.759301776,Urban,01-04-2023,13:41,35693.33,Pune
Uttar Pradesh,41.55688796,9.393093801,Urban,21-04-2022,22:52,26718.47,Agra
Delhi,19.71998646,7.784533122,Rural,16-12-2021,18:58,59609.89,Unknown
Madhya Pradesh,31.82423239,6.577169436,Urban,10-06-2021,02:09,26615.51,Gwalior
Madhya Pradesh,14.01608459,5.564246145,Urban,06-04-2022,22:43,19431.31,Gwalior
Maharashtra,14.61291074,5.310397306,Urban,25-01-2019,21:50,13419.25,Pune
Rajasthan,27.98836811,8.062593518,Rural,14-07-2019,10:23,23157.89,Jaipur
Telangana,27.42571701,7.249863746,Urban,16-04-2019,17:18,19372.16,Unknown
Tamil Nadu,35.74916912,4.097954013,Rural,24-07-2019,01:43,50672.48,Salem
Rajasthan,35.31253223,3.987676519,Urban,27-02-2022,14:24,18650.32,Jaipur
Telangana,31.82751059,3.497694426,Urban,21-08-2023,14:37,42351.74,Unknown
Madhya Pradesh,22.96522264,7.784583433,Urban,30-07-2020,16:13,5087.48,Gwalior
Karnataka,40.62561545,5.200550597,Urban,11-06-2020,06:49,14135.02,Bengaluru
Delhi,29.90313961,3.141697283,Rural,28-09-2023,10:54,26888.33,Unknown
Maharashtra,44.60793962,5.36384915,Rural,20-03-2023,16:26,62384.76,Nagpur
Delhi,37.77479272,8.824816564,Urban,17-10-2023,07:02,24868.78,Unknown
West Bengal,6.77239245,4.733637711,Urban,03-12-2022,20:49,39315.07,Asansol
West Bengal,17.82375628,7.434845763,Urban,01-01-2022,08:30,18232.9,Siliguri
Rajasthan,27.87502866,6.077698281,Urban,16-07-2023,12:35,8229.35,Jodhpur
Madhya Pradesh,33.85878151,6.842271208,Rural,03-06-2019,13:27,3770.36,Jabalpur
Madhya Pradesh,27.01345991,7.170408954,Rural,15-05-2019,09:34,21212.15,Indore
Tamil Nadu,36.4452169,6.183676866,Urban,11-10-2021,08:59,9722.95,Coimbatore
Tamil Nadu,16.30622611,3.404990893,Urban,13-01-2023,13:43,13453.22,Madurai
Tamil Nadu,12.35648205,6.973867919,Rural,15-05-2021,22:33,56533.19,Coimbatore
Karnataka,7.156667352,5.782673687,Rural,29-07-2022,05:13,1882.25,Hubli
Uttar Pradesh,27.93254978,4.399159338,Urban,04-11-2021,20:19,35085.06,Lucknow
Gujarat,32.54398083,9.275557432,Urban,15-09-2023,09:30,21330.89,Vadodara
Uttar Pradesh,18.04598868,8.15247032,Urban,26-01-2023,05:40,37628.06,Agra
Delhi,29.54336739,4.988477732,Urban,21-10-2019,09:34,36053.44,Unknown
Uttar Pradesh,7.086289234,6.772700232,Rural,08-09-2019,06:02,23803.99,Lucknow
Karnataka,8.971733852,9.741792195,Rural,31-03-2022,09:24,22441.98,Mangalore
Delhi,33.07019089,4.718231003,Rural,16-11-2022,22:49,53041.19,Unknown
Uttar Pradesh,19.72278821,9.631691357,Urban,05-10-2020,10:14,53129.54,Varanasi
Karnataka,31.85336124,7.783529416,Urban,06-07-2022,00:26,12581.51,Hubli
Gujarat,38.26884481,6.785856529,Rural,09-07-2019,03:17,7680.69,Rajkot
Uttar Pradesh,39.1048975,9.882453848,Urban,08-05-2021,06:36,55132.08,Kanpur
Karnataka,11.88670582,5.33596203,Rural,17-05-2022,23:59,20809.94,Mysuru
Tamil Nadu,24.45142289,4.947618312,Rural,15-10-2022,14:02,36758.68,Chennai
Madhya Pradesh,34.35706895,5.377152925,Rural,06-06-2020,13:21,26978.8,Gwalior
Tamil Nadu,35.95922385,8.256008813,Urban,13-11-2019,18:54,9272.87,Coimbatore
Madhya Pradesh,36.38703923,5.359045832,Rural,13-08-2019,10:56,39405.03,Gwalior
Maharashtra,14.12669338,3.719336496,Rural,13-11-2021,09:57,30173.78,Nashik
Maharashtra,12.70139271,7.510184675,Rural,29-03-2019,13:08,14197.88,Nagpur
Maharashtra,28.60049873,4.560885202,Urban,10-06-2022,10:29,34210.3,Nashik
Gujarat,34.64343191,3.029141492,Rural,01-11-2020,01:25,46182.27,Rajkot
Tamil Nadu,17.76558062,4.394102057,Rural,28-02-2020,22:38,38861.87,Chennai
Madhya Pradesh,9.188206274,8.734018003,Urban,10-05-2023,00:06,7686.27,Jabalpur
Karnataka,33.66985532,9.581736739,Urban,03-01-2021,01:30,38575.88,Mysuru
Delhi,16.98791326,7.633669581,Urban,30-03-2020,23:49,48651.93,Unknown
Karnataka,11.65450897,5.173428488,Urban,30-05-2022,06:29,54879.06,Mysuru
Delhi,10.90894114,6.055481428,Urban,04-11-2019,01:57,39355.36,Unknown
West Bengal,17.5963819,4.361841187,Rural,24-10-2019,08:23,9808.38,Durgapur
Karnataka,28.70712264,9.165445464,Urban,16-07-2023,19:22,50761.58,Hubli
Uttar Pradesh,19.33608955,7.65907094,Rural,15-02-2019,00:48,48458.02,Agra
Uttar Pradesh,5.826474064,3.590888182,Urban,06-02-2020,23:16,2472.82,Agra
Rajasthan,8.876337387,5.568535785,Rural,21-01-2022,13:13,30597.6,Jodhpur
Tamil Nadu,16.62012989,6.766158178,Rural,23-05-2021,09:32,22152.39,Coimbatore
Delhi,31.38817929,8.581310567,Urban,05-01-2020,03:42,43747.07,Unknown
Delhi,8.940602939,9.443532206,Rural,13-12-2023,22:18,15894.55,Unknown
Tamil Nadu,27.42627414,3.928713963,Urban,16-05-2021,00:56,40457.07,Madurai
Gujarat,9.795434833,8.841888921,Urban,04-07-2023,01:07,63107.06,Ahmedabad
Rajasthan,13.46461309,3.460486438,Urban,28-02-2023,21:11,56720.23,Kota
Gujarat,11.8875411,4.683433296,Urban,28-09-2022,03:59,67139.4,Surat
Gujarat,7.689145423,3.147086045,Rural,11-05-2022,17:20,60445.71,Vadodara
Gujarat,31.8531927,3.44679869,Urban,22-10-2023,15:49,1285.45,Surat
Tamil Nadu,23.5361419,3.226941294,Urban,29-09-2021,17:33,35635.88,Chennai
Gujarat,38.24213764,4.02205502,Rural,24-03-2023,06:45,27871.75,Surat
Uttar Pradesh,8.955633599,9.135696527,Urban,29-01-2023,05:01,47988.19,Kanpur
Maharashtra,10.78931733,4.986786111,Rural,06-06-2022,05:58,16675.87,Nagpur
West Bengal,17.25830925,6.358007412,Urban,27-04-2022,01:15,64616.12,Asansol
Delhi,35.63463948,6.409814578,Urban,27-05-2022,11:54,37505.59,Unknown
Delhi,17.23035293,9.966840535,Rural,05-02-2020,01:48,53159.47,Unknown
West Bengal,21.3367483,5.552710375,Urban,27-07-2020,20:23,5268.69,Siliguri
Tamil Nadu,17.06414265,4.855695298,Rural,11-05-2023,08:12,10682.42,Coimbatore
Karnataka,8.208971672,9.742712899,Urban,13-10-2022,00:48,54362.09,Bengaluru
Tamil Nadu,42.57734492,7.14767953,Urban,02-10-2021,20:47,1976.01,Salem
Delhi,26.94155968,5.026370073,Rural,21-05-2019,15:56,47109.52,Unknown
Delhi,36.51332753,5.012401556,Urban,06-01-2021,08:44,1558.21,Unknown
West Bengal,31.33428369,3.604538958,Rural,05-08-2021,18:54,46502.47,Asansol
Gujarat,25.57017116,6.898080465,Urban,12-02-2021,01:25,22032.67,Surat
Tamil Nadu,8.587130266,8.065815195,Rural,10-09-2021,17:12,41512.18,Salem
Madhya Pradesh,30.70934181,6.322996585,Urban,26-09-2023,01:23,39642.19,Gwalior
West Bengal,11.21481424,9.191058186,Rural,24-12-2021,23:06,19558.57,Durgapur
Uttar Pradesh,21.57532677,6.387753487,Rural,01-08-2023,00:03,7670.68,Agra
Delhi,30.16452574,5.424508365,Urban,01-01-2020,19:14,5195.87,Unknown
West Bengal,36.28916002,4.755479948,Rural,24-06-2022,16:57,40178.08,Asansol
Tamil Nadu,32.40180703,4.703053284,Urban,10-08-2019,18:56,36530.16,Madurai
Delhi,31.86134116,5.21559777,Rural,14-04-2023,09:48,55498.73,Unknown
Karnataka,10.96168837,9.943824299,Urban,25-02-2023,16:53,33619.26,Mangalore
West Bengal,18.8451416,5.525785679,Urban,01-12-2021,23:07,26318.11,Durgapur
Rajasthan,6.716490906,6.672199268,Rural,13-05-2022,20:35,28652.64,Jodhpur
Delhi,33.77907573,4.922725924,Urban,15-10-2020,18:24,2186.02,Unknown
Tamil Nadu,43.10343925,4.00475105,Urban,14-08-2023,04:03,21825.42,Coimbatore
