Datetime,State,City,UrbanRural,Hour,DayOfWeek,Month,IsWeekend,Temperature,Electricity_Price,Hourly_Electricity_Demand
2023-01-02 01:00:00,Delhi,New Delhi,Urban,1,0,1,0,9.79,4.87,852.23
2023-01-02 02:00:00,Tamil Nadu,Chennai,Urban,2,0,1,0,10.19,7.23,948.43
2023-01-02 03:00:00,Tamil Nadu,Chennai,Urban,3,0,1,0,11.45,5.09,887.21
2023-01-02 04:00:00,Karnataka,Bengaluru,Urban,4,0,1,0,12.55,7.44,885.4
2023-01-02 05:00:00,Karnataka,Bengaluru,Urban,5,0,1,0,7.17,4.48,878.97
2023-01-02 06:00:00,Tamil Nadu,Chennai,Urban,6,0,1,0,8.67,4.88,1024.31
2023-01-02 07:00:00,Delhi,New Delhi,Urban,7,0,1,0,8.67,5.02,1042.68
2023-01-02 08:00:00,Tamil Nadu,Chennai,Urban,8,0,1,0,9.96,5.2,966.32
2023-01-02 09:00:00,Delhi,New Delhi,Urban,9,0,1,0,9.87,4.13,1067.25
2023-01-02 10:00:00,Delhi,New Delhi,Urban,10,0,1,0,12.87,6.12,953.29
2023-01-02 11:00:00,Maharashtra,Pune,Urban,11,0,1,0,14.32,4.32,961.59
2023-01-02 12:00:00,Karnataka,Bengaluru,Urban,12,0,1,0,11.46,5.88,869.05
2023-01-02 13:00:00,Maharashtra,Pune,Urban,13,0,1,0,12.44,7.19,880.53
2023-01-02 14:00:00,Delhi,New Delhi,Urban,14,0,1,0,8.02,4.16,871.69
2023-01-02 15:00:00,Tamil Nadu,Chennai,Urban,15,0,1,0,7.81,6.84,865.88
2023-01-02 16:00:00,Karnataka,Bengaluru,Urban,16,0,1,0,8.56,7.76,886.5
2023-01-02 17:00:00,Maharashtra,Pune,Urban,17,0,1,0,9.22,4.45,855.72
2023-01-02 18:00:00,Maharashtra,Mumbai,Urban,18,0,1,0,8.75,7.93,1173.88
2023-01-02 19:00:00,Tamil Nadu,Chennai,Urban,19,0,1,0,6.79,4.37,1209.23
2023-01-02 20:00:00,Tamil Nadu,Chennai,Urban,20,0,1,0,12.0,4.75,1207.62
2023-01-02 21:00:00,Delhi,New Delhi,Urban,21,0,1,0,12.6,7.59,1156.64
2023-01-02 22:00:00,Delhi,New Delhi,Urban,22,0,1,0,8.64,4.65,1211.61
2023-01-02 23:00:00,Tamil Nadu,Chennai,Urban,23,0,1,0,6.3,7.76,958.43
2023-01-03 00:00:00,Delhi,New Delhi,Urban,0,1,1,0,13.73,6.61,923.69
2023-01-03 01:00:00,Delhi,New Delhi,Urban,1,1,1,0,7.34,5.47,898.74
2023-01-03 02:00:00,Karnataka,Bengaluru,Urban,2,1,1,0,11.64,4.37,994.84
2023-01-03 03:00:00,Karnataka,Bengaluru,Urban,3,1,1,0,7.36,6.36,936.02
2023-01-03 04:00:00,Uttar Pradesh,Lucknow,Semi-Urban,4,1,1,0,10.55,7.18,641.36
2023-01-03 05:00:00,Delhi,New Delhi,Urban,5,1,1,0,9.47,4.78,1036.01
2023-01-03 06:00:00,Uttar Pradesh,Noida,Urban,6,1,1,0,7.86,7.76,1074.12
2023-01-03 07:00:00,Uttar Pradesh,Noida,Urban,7,1,1,0,9.55,4.06,1085.7
2023-01-03 08:00:00,Uttar Pradesh,Lucknow,Semi-Urban,8,1,1,0,14.24,7.92,827.33
2023-01-03 09:00:00,Tamil Nadu,Chennai,Urban,9,1,1,0,8.31,7.4,974.26
2023-01-03 10:00:00,Karnataka,Bengaluru,Urban,10,1,1,0,10.43,7.74,837.71
2023-01-03 11:00:00,Maharashtra,Mumbai,Urban,11,1,1,0,8.23,6.46,907.69
2023-01-03 12:00:00,Maharashtra,Mumbai,Urban,12,1,1,0,12.11,6.96,902.57
2023-01-03 13:00:00,Delhi,New Delhi,Urban,13,1,1,0,10.84,6.21,863.59
2023-01-03 14:00:00,Maharashtra,Mumbai,Urban,14,1,1,0,6.9,6.45,874.48
2023-01-03 15:00:00,Tamil Nadu,Chennai,Urban,15,1,1,0,11.03,7.19,1092.64
2023-01-03 16:00:00,Delhi,New Delhi,Urban,16,1,1,0,9.67,4.2,865.64
2023-01-03 17:00:00,Karnataka,Bengaluru,Urban,17,1,1,0,7.69,4.38,824.96
2023-01-03 18:00:00,Karnataka,Bengaluru,Urban,18,1,1,0,14.63,5.15,1106.64
2023-01-03 19:00:00,Maharashtra,Pune,Urban,19,1,1,0,9.06,4.51,1254.45
2023-01-03 20:00:00,Delhi,New Delhi,Urban,20,1,1,0,8.92,7.86,1238.84
2023-01-03 21:00:00,Tamil Nadu,Chennai,Urban,21,1,1,0,9.22,5.65,1221.9
2023-01-03 22:00:00,Karnataka,Bengaluru,Urban,22,1,1,0,12.73,7.9,1241.44
2023-01-03 23:00:00,Tamil Nadu,Chennai,Urban,23,1,1,0,7.38,6.98,800.47
2023-01-04 00:00:00,Maharashtra,Mumbai,Urban,0,2,1,0,13.56,4.23,866.13
2023-01-04 01:00:00,Maharashtra,Mumbai,Urban,1,2,1,0,6.9,4.38,882.84
2023-01-04 02:00:00,Delhi,New Delhi,Urban,2,2,1,0,7.48,7.82,945.89
2023-01-04 03:00:00,Uttar Pradesh,Noida,Urban,3,2,1,0,7.63,4.48,911.45
2023-01-04 04:00:00,Uttar Pradesh,Noida,Urban,4,2,1,0,11.4,5.39,929.99
2023-01-04 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,2,1,0,9.35,4.06,626.23
2023-01-04 06:00:00,Karnataka,Bengaluru,Urban,6,2,1,0,12.33,6.63,1050.51
2023-01-04 07:00:00,Tamil Nadu,Chennai,Urban,7,2,1,0,11.14,7.78,1057.41
2023-01-04 08:00:00,Tamil Nadu,Chennai,Urban,8,2,1,0,11.29,6.3,1056.3
2023-01-04 09:00:00,Maharashtra,Mumbai,Urban,9,2,1,0,8.77,6.18,1155.57
2023-01-04 10:00:00,Uttar Pradesh,Noida,Urban,10,2,1,0,10.88,7.62,894.58
2023-01-04 11:00:00,Tamil Nadu,Chennai,Urban,11,2,1,0,8.23,5.51,865.03
2023-01-04 12:00:00,Uttar Pradesh,Lucknow,Semi-Urban,12,2,1,0,6.91,6.62,655.84
2023-01-04 13:00:00,Uttar Pradesh,Noida,Urban,13,2,1,0,7.75,5.04,964.1
2023-01-04 14:00:00,Tamil Nadu,Chennai,Urban,14,2,1,0,7.91,7.75,966.32
2023-01-04 15:00:00,Tamil Nadu,Chennai,Urban,15,2,1,0,10.9,6.19,896.06
2023-01-04 16:00:00,Uttar Pradesh,Lucknow,Semi-Urban,16,2,1,0,13.74,6.93,684.4
2023-01-04 17:00:00,Tamil Nadu,Chennai,Urban,17,2,1,0,12.56,5.36,870.42
2023-01-04 18:00:00,Uttar Pradesh,Noida,Urban,18,2,1,0,13.11,7.02,1178.02
2023-01-04 19:00:00,Delhi,New Delhi,Urban,19,2,1,0,11.27,5.99,1087.29
2023-01-04 20:00:00,Delhi,New Delhi,Urban,20,2,1,0,11.36,5.56,1184.49
2023-01-04 21:00:00,Tamil Nadu,Chennai,Urban,21,2,1,0,10.78,6.71,1193.77
2023-01-04 22:00:00,Tamil Nadu,Chennai,Urban,22,2,1,0,13.82,5.79,1253.26
2023-01-04 23:00:00,Karnataka,Bengaluru,Urban,23,2,1,0,12.25,4.85,1007.16
2023-01-05 00:00:00,Uttar Pradesh,Lucknow,Semi-Urban,0,3,1,0,9.31,7.72,612.47
2023-01-05 01:00:00,Maharashtra,Mumbai,Urban,1,3,1,0,10.65,6.82,983.76
2023-01-05 02:00:00,Tamil Nadu,Chennai,Urban,2,3,1,0,11.78,7.47,924.8
2023-01-05 03:00:00,Uttar Pradesh,Noida,Urban,3,3,1,0,9.06,4.34,911.6
2023-01-05 04:00:00,Karnataka,Bengaluru,Urban,4,3,1,0,12.12,7.52,911.87
2023-01-05 05:00:00,Delhi,New Delhi,Urban,5,3,1,0,8.67,4.33,968.01
2023-01-05 06:00:00,Uttar Pradesh,Noida,Urban,6,3,1,0,5.93,7.63,1128.5
2023-01-05 07:00:00,Karnataka,Bengaluru,Urban,7,3,1,0,8.85,6.29,975.4
2023-01-05 08:00:00,Tamil Nadu,Chennai,Urban,8,3,1,0,12.54,6.33,1088.54
2023-01-05 09:00:00,Delhi,New Delhi,Urban,9,3,1,0,7.11,7.47,1007.79
2023-01-05 10:00:00,Uttar Pradesh,Noida,Urban,10,3,1,0,6.21,4.17,929.95
2023-01-05 11:00:00,Uttar Pradesh,Lucknow,Semi-Urban,11,3,1,0,9.66,6.78,614.26
2023-01-05 12:00:00,Delhi,New Delhi,Urban,12,3,1,0,14.55,6.78,920.31
2023-01-05 13:00:00,Delhi,New Delhi,Urban,13,3,1,0,12.4,7.6,990.8
2023-01-05 14:00:00,Delhi,New Delhi,Urban,14,3,1,0,9.71,4.43,869.97
2023-01-05 15:00:00,Uttar Pradesh,Noida,Urban,15,3,1,0,10.93,5.55,847.96
2023-01-05 16:00:00,Tamil Nadu,Chennai,Urban,16,3,1,0,8.48,7.9,907.52
2023-01-05 17:00:00,Karnataka,Bengaluru,Urban,17,3,1,0,10.68,5.24,993.81
2023-01-05 18:00:00,Tamil Nadu,Chennai,Urban,18,3,1,0,6.97,4.53,1233.98
2023-01-05 19:00:00,Karnataka,Bengaluru,Urban,19,3,1,0,11.48,5.67,1273.83
2023-01-05 20:00:00,Maharashtra,Mumbai,Urban,20,3,1,0,12.36,7.95,1176.54
2023-01-05 21:00:00,Delhi,New Delhi,Urban,21,3,1,0,12.74,5.57,1166.11
2023-01-05 22:00:00,Karnataka,Bengaluru,Urban,22,3,1,0,10.55,5.87,1213.94
2023-01-05 23:00:00,Karnataka,Bengaluru,Urban,23,3,1,0,10.44,6.14,875.78
2023-01-06 00:00:00,Uttar Pradesh,Noida,Urban,0,4,1,0,10.33,6.9,940.38
2023-01-06 01:00:00,Maharashtra,Pune,Urban,1,4,1,0,7.3,4.82,868.14
2023-01-06 02:00:00,Delhi,New Delhi,Urban,2,4,1,0,10.24,4.91,925.72
2023-01-06 03:00:00,Delhi,New Delhi,Urban,3,4,1,0,3.04,7.33,886.59
2023-01-06 04:00:00,Maharashtra,Pune,Urban,4,4,1,0,8.87,5.68,1026.96
2023-01-06 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,4,1,0,12.3,7.61,626.26
2023-01-06 06:00:00,Tamil Nadu,Chennai,Urban,6,4,1,0,10.11,6.55,1062.02
2023-01-06 07:00:00,Karnataka,Bengaluru,Urban,7,4,1,0,10.5,6.19,1027.31
2023-01-06 08:00:00,Delhi,New Delhi,Urban,8,4,1,0,9.03,6.49,1116.72
2023-01-06 09:00:00,Karnataka,Bengaluru,Urban,9,4,1,0,11.94,5.84,1082.29
2023-01-06 10:00:00,Delhi,New Delhi,Urban,10,4,1,0,6.59,5.84,897.22
2023-01-06 11:00:00,Maharashtra,Pune,Urban,11,4,1,0,5.87,6.53,895.54
2023-01-06 12:00:00,Karnataka,Bengaluru,Urban,12,4,1,0,10.73,4.73,853.01
2023-01-06 13:00:00,Delhi,New Delhi,Urban,13,4,1,0,9.87,6.67,947.76
2023-01-06 14:00:00,Maharashtra,Mumbai,Urban,14,4,1,0,8.94,4.71,860.36
2023-01-06 15:00:00,Uttar Pradesh,Noida,Urban,15,4,1,0,9.79,4.83,848.24
2023-01-06 16:00:00,Maharashtra,Mumbai,Urban,16,4,1,0,13.93,4.16,901.76
2023-01-06 17:00:00,Delhi,New Delhi,Urban,17,4,1,0,13.93,6.05,890.14
2023-01-06 18:00:00,Karnataka,Bengaluru,Urban,18,4,1,0,11.7,6.99,1168.98
2023-01-06 19:00:00,Uttar Pradesh,Noida,Urban,19,4,1,0,8.91,5.94,1138.6
2023-01-06 20:00:00,Maharashtra,Pune,Urban,20,4,1,0,8.75,6.99,1090.39
2023-01-06 21:00:00,Karnataka,Bengaluru,Urban,21,4,1,0,11.7,7.58,1150.6
2023-01-06 22:00:00,Karnataka,Bengaluru,Urban,22,4,1,0,8.06,5.79,1203.97
2023-01-06 23:00:00,Karnataka,Bengaluru,Urban,23,4,1,0,8.26,6.95,888.66
2023-01-07 00:00:00,Tamil Nadu,Chennai,Urban,0,5,1,1,8.71,4.48,695.92
2023-01-07 01:00:00,Delhi,New Delhi,Urban,1,5,1,1,9.3,5.42,644.47
2023-01-07 02:00:00,Delhi,New Delhi,Urban,2,5,1,1,8.25,6.15,749.84
2023-01-07 03:00:00,Maharashtra,Mumbai,Urban,3,5,1,1,9.12,4.51,829.1
2023-01-07 04:00:00,Delhi,New Delhi,Urban,4,5,1,1,11.42,6.43,735.53
2023-01-07 05:00:00,Karnataka,Bengaluru,Urban,5,5,1,1,7.2,4.41,778.15
2023-01-07 06:00:00,Tamil Nadu,Chennai,Urban,6,5,1,1,11.59,4.02,907.26
2023-01-07 07:00:00,Delhi,New Delhi,Urban,7,5,1,1,13.59,7.28,896.27
2023-01-07 08:00:00,Maharashtra,Mumbai,Urban,8,5,1,1,6.51,7.35,1030.83
2023-01-07 09:00:00,Uttar Pradesh,Noida,Urban,9,5,1,1,11.28,6.12,859.26
2023-01-07 10:00:00,Delhi,New Delhi,Urban,10,5,1,1,6.95,6.32,789.89
2023-01-07 11:00:00,Karnataka,Bengaluru,Urban,11,5,1,1,9.6,6.38,773.84
2023-01-07 12:00:00,Maharashtra,Pune,Urban,12,5,1,1,8.8,6.73,788.01
2023-01-07 13:00:00,Delhi,New Delhi,Urban,13,5,1,1,9.86,6.42,698.81
2023-01-07 14:00:00,Karnataka,Bengaluru,Urban,14,5,1,1,11.15,7.32,739.85
2023-01-07 15:00:00,Tamil Nadu,Chennai,Urban,15,5,1,1,11.37,7.96,742.77
2023-01-07 16:00:00,Maharashtra,Pune,Urban,16,5,1,1,11.34,6.89,740.54
2023-01-07 17:00:00,Tamil Nadu,Chennai,Urban,17,5,1,1,9.76,7.18,755.69
2023-01-07 18:00:00,Tamil Nadu,Chennai,Urban,18,5,1,1,9.36,7.26,1034.05
2023-01-07 19:00:00,Karnataka,Bengaluru,Urban,19,5,1,1,11.48,5.26,1062.17
2023-01-07 20:00:00,Maharashtra,Mumbai,Urban,20,5,1,1,9.0,6.86,1145.35
2023-01-07 21:00:00,Karnataka,Bengaluru,Urban,21,5,1,1,11.42,5.75,1160.42
2023-01-07 22:00:00,Delhi,New Delhi,Urban,22,5,1,1,10.65,5.54,1039.04
2023-01-07 23:00:00,Uttar Pradesh,Noida,Urban,23,5,1,1,10.48,5.73,673.48
2023-01-08 00:00:00,Karnataka,Bengaluru,Urban,0,6,1,1,7.04,4.56,807.19
2023-01-08 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,6,1,1,11.93,7.15,454.1
2023-01-08 02:00:00,Delhi,New Delhi,Urban,2,6,1,1,7.82,6.98,709.15
2023-01-08 03:00:00,Tamil Nadu,Chennai,Urban,3,6,1,1,13.02,7.51,770.1
2023-01-08 04:00:00,Delhi,New Delhi,Urban,4,6,1,1,10.17,5.52,702.63
2023-01-08 05:00:00,Uttar Pradesh,Noida,Urban,5,6,1,1,10.11,6.16,875.28
2023-01-08 06:00:00,Uttar Pradesh,Lucknow,Semi-Urban,6,6,1,1,12.83,4.05,576.32
2023-01-08 07:00:00,Karnataka,Bengaluru,Urban,7,6,1,1,10.83,5.01,993.84
2023-01-08 08:00:00,Uttar Pradesh,Noida,Urban,8,6,1,1,6.44,5.85,974.8
2023-01-08 09:00:00,Karnataka,Bengaluru,Urban,9,6,1,1,10.56,6.02,843.73
2023-01-08 10:00:00,Delhi,New Delhi,Urban,10,6,1,1,11.74,6.37,703.17
2023-01-08 11:00:00,Tamil Nadu,Chennai,Urban,11,6,1,1,13.56,7.69,779.51
2023-01-08 12:00:00,Maharashtra,Mumbai,Urban,12,6,1,1,13.76,5.7,817.27
2023-01-08 13:00:00,Uttar Pradesh,Noida,Urban,13,6,1,1,8.02,7.94,743.71
2023-01-08 14:00:00,Tamil Nadu,Chennai,Urban,14,6,1,1,10.11,6.37,804.71
2023-01-08 15:00:00,Uttar Pradesh,Lucknow,Semi-Urban,15,6,1,1,9.68,7.21,428.66
2023-01-08 16:00:00,Uttar Pradesh,Noida,Urban,16,6,1,1,7.98,6.15,667.26
2023-01-08 17:00:00,Karnataka,Bengaluru,Urban,17,6,1,1,9.87,5.92,790.37
2023-01-08 18:00:00,Karnataka,Bengaluru,Urban,18,6,1,1,6.99,5.81,1036.96
2023-01-08 19:00:00,Karnataka,Bengaluru,Urban,19,6,1,1,10.94,4.66,973.51
2023-01-08 20:00:00,Uttar Pradesh,Noida,Urban,20,6,1,1,12.08,5.11,1015.09
2023-01-08 21:00:00,Maharashtra,Pune,Urban,21,6,1,1,10.16,7.9,975.76
2023-01-08 22:00:00,Delhi,New Delhi,Urban,22,6,1,1,9.46,4.34,994.67
2023-01-08 23:00:00,Uttar Pradesh,Noida,Urban,23,6,1,1,15.15,4.27,752.96
2023-01-09 00:00:00,Karnataka,Bengaluru,Urban,0,0,1,0,10.4,4.82,892.78
2023-01-09 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,0,1,0,9.93,6.26,572.83
2023-01-09 02:00:00,Maharashtra,Mumbai,Urban,2,0,1,0,9.49,6.1,975.2
2023-01-09 03:00:00,Tamil Nadu,Chennai,Urban,3,0,1,0,8.87,7.06,721.59
2023-01-09 04:00:00,Tamil Nadu,Chennai,Urban,4,0,1,0,10.58,7.78,887.26
2023-01-09 05:00:00,Maharashtra,Pune,Urban,5,0,1,0,10.13,7.2,947.58
2023-01-09 06:00:00,Tamil Nadu,Chennai,Urban,6,0,1,0,12.44,5.02,941.28
2023-01-09 07:00:00,Karnataka,Bengaluru,Urban,7,0,1,0,15.14,5.36,1057.45
2023-01-09 08:00:00,Uttar Pradesh,Lucknow,Semi-Urban,8,0,1,0,10.29,6.88,798.91
2023-01-09 09:00:00,Karnataka,Bengaluru,Urban,9,0,1,0,11.63,7.42,1002.98
2023-01-09 10:00:00,Karnataka,Bengaluru,Urban,10,0,1,0,9.45,5.3,847.12
2023-01-09 11:00:00,Maharashtra,Mumbai,Urban,11,0,1,0,12.73,7.39,938.5
2023-01-09 12:00:00,Uttar Pradesh,Lucknow,Semi-Urban,12,0,1,0,6.66,7.57,688.23
2023-01-09 13:00:00,Uttar Pradesh,Noida,Urban,13,0,1,0,12.01,5.45,874.63
2023-01-09 14:00:00,Tamil Nadu,Chennai,Urban,14,0,1,0,9.05,7.1,950.78
2023-01-09 15:00:00,Delhi,New Delhi,Urban,15,0,1,0,6.49,7.79,872.75
2023-01-09 16:00:00,Tamil Nadu,Chennai,Urban,16,0,1,0,11.94,7.2,898.45
2023-01-09 17:00:00,Delhi,New Delhi,Urban,17,0,1,0,14.56,6.97,760.8
2023-01-09 18:00:00,Maharashtra,Mumbai,Urban,18,0,1,0,7.28,6.58,1176.53
2023-01-09 19:00:00,Tamil Nadu,Chennai,Urban,19,0,1,0,12.21,7.29,1257.57
2023-01-09 20:00:00,Uttar Pradesh,Noida,Urban,20,0,1,0,6.74,6.22,1227.59
2023-01-09 21:00:00,Delhi,New Delhi,Urban,21,0,1,0,13.62,4.43,1198.96
2023-01-09 22:00:00,Uttar Pradesh,Lucknow,Semi-Urban,22,0,1,0,13.24,6.66,978.52
2023-01-09 23:00:00,Maharashtra,Mumbai,Urban,23,0,1,0,9.35,7.08,957.15
2023-01-10 00:00:00,Maharashtra,Pune,Urban,0,1,1,0,10.29,4.27,888.87
2023-01-10 01:00:00,Karnataka,Bengaluru,Urban,1,1,1,0,8.15,6.88,832.42
2023-01-10 02:00:00,Karnataka,Bengaluru,Urban,2,1,1,0,9.74,7.82,927.76
2023-01-10 03:00:00,Uttar Pradesh,Noida,Urban,3,1,1,0,11.22,4.21,824.04
2023-01-10 04:00:00,Karnataka,Bengaluru,Urban,4,1,1,0,6.62,7.08,949.36
2023-01-10 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,1,1,0,10.36,5.98,583.26
2023-01-10 06:00:00,Karnataka,Bengaluru,Urban,6,1,1,0,8.11,4.3,1165.15
2023-01-10 07:00:00,Maharashtra,Mumbai,Urban,7,1,1,0,11.97,7.85,1020.28
2023-01-10 08:00:00,Delhi,New Delhi,Urban,8,1,1,0,9.85,4.74,1081.03
2023-01-10 09:00:00,Karnataka,Bengaluru,Urban,9,1,1,0,11.63,6.64,1080.93
2023-01-10 10:00:00,Delhi,New Delhi,Urban,10,1,1,0,10.53,6.77,936.72
2023-01-10 11:00:00,Delhi,New Delhi,Urban,11,1,1,0,10.86,4.72,910.38
2023-01-10 12:00:00,Uttar Pradesh,Noida,Urban,12,1,1,0,7.84,7.7,952.66
2023-01-10 13:00:00,Maharashtra,Mumbai,Urban,13,1,1,0,9.92,7.45,934.08
2023-01-10 14:00:00,Karnataka,Bengaluru,Urban,14,1,1,0,11.88,4.15,874.2
2023-01-10 15:00:00,Karnataka,Bengaluru,Urban,15,1,1,0,8.29,7.54,1037.09
2023-01-10 16:00:00,Karnataka,Bengaluru,Urban,16,1,1,0,12.51,4.26,855.27
2023-01-10 17:00:00,Delhi,New Delhi,Urban,17,1,1,0,14.08,6.95,924.26
2023-01-10 18:00:00,Delhi,New Delhi,Urban,18,1,1,0,10.53,4.93,1244.48
2023-01-10 19:00:00,Karnataka,Bengaluru,Urban,19,1,1,0,10.16,7.76,1253.27
2023-01-10 20:00:00,Karnataka,Bengaluru,Urban,20,1,1,0,9.95,6.32,1172.24
2023-01-10 21:00:00,Tamil Nadu,Chennai,Urban,21,1,1,0,6.64,6.95,1112.07
2023-01-10 22:00:00,Delhi,New Delhi,Urban,22,1,1,0,9.4,5.15,1159.76
2023-01-10 23:00:00,Tamil Nadu,Chennai,Urban,23,1,1,0,11.33,5.11,980.7
2023-01-11 00:00:00,Uttar Pradesh,Noida,Urban,0,2,1,0,8.09,7.83,886.24
2023-01-11 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,2,1,0,11.13,7.93,523.37
2023-01-11 02:00:00,Karnataka,Bengaluru,Urban,2,2,1,0,9.81,5.61,902.72
2023-01-11 03:00:00,Uttar Pradesh,Lucknow,Semi-Urban,3,2,1,0,11.24,4.48,574.81
2023-01-11 04:00:00,Karnataka,Bengaluru,Urban,4,2,1,0,8.96,4.75,870.05
2023-01-11 05:00:00,Karnataka,Bengaluru,Urban,5,2,1,0,10.94,6.52,925.41
2023-01-11 06:00:00,Delhi,New Delhi,Urban,6,2,1,0,15.0,6.1,1073.48
2023-01-11 07:00:00,Karnataka,Bengaluru,Urban,7,2,1,0,12.84,6.78,1021.46
2023-01-11 08:00:00,Karnataka,Bengaluru,Urban,8,2,1,0,8.9,4.9,1081.65
2023-01-11 09:00:00,Delhi,New Delhi,Urban,9,2,1,0,13.1,4.37,1139.79
2023-01-11 10:00:00,Delhi,New Delhi,Urban,10,2,1,0,7.01,5.91,864.2
2023-01-11 11:00:00,Karnataka,Bengaluru,Urban,11,2,1,0,11.09,6.2,954.18
2023-01-11 12:00:00,Karnataka,Bengaluru,Urban,12,2,1,0,8.07,4.02,857.33
2023-01-11 13:00:00,Karnataka,Bengaluru,Urban,13,2,1,0,9.93,4.32,989.73
2023-01-11 14:00:00,Tamil Nadu,Chennai,Urban,14,2,1,0,10.09,7.63,951.52
2023-01-11 15:00:00,Karnataka,Bengaluru,Urban,15,2,1,0,12.65,6.26,843.41
2023-01-11 16:00:00,Uttar Pradesh,Lucknow,Semi-Urban,16,2,1,0,10.48,6.63,615.28
2023-01-11 17:00:00,Delhi,New Delhi,Urban,17,2,1,0,9.47,5.34,886.57
2023-01-11 18:00:00,Uttar Pradesh,Lucknow,Semi-Urban,18,2,1,0,8.14,7.53,929.72
2023-01-11 19:00:00,Uttar Pradesh,Noida,Urban,19,2,1,0,12.08,4.02,1195.26
2023-01-11 20:00:00,Karnataka,Bengaluru,Urban,20,2,1,0,10.46,4.0,1192.38
2023-01-11 21:00:00,Maharashtra,Pune,Urban,21,2,1,0,8.38,4.77,1243.11
2023-01-11 22:00:00,Uttar Pradesh,Noida,Urban,22,2,1,0,11.31,4.46,1105.37
2023-01-11 23:00:00,Maharashtra,Pune,Urban,23,2,1,0,9.22,4.07,866.48
2023-01-12 00:00:00,Delhi,New Delhi,Urban,0,3,1,0,9.81,6.53,913.95
2023-01-12 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,3,1,0,8.89,7.08,624.59
2023-01-12 02:00:00,Tamil Nadu,Chennai,Urban,2,3,1,0,12.15,4.27,848.67
2023-01-12 03:00:00,Maharashtra,Pune,Urban,3,3,1,0,12.39,4.18,823.84
2023-01-12 04:00:00,Maharashtra,Pune,Urban,4,3,1,0,8.88,7.03,918.86
2023-01-12 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,3,1,0,9.1,7.28,656.34
2023-01-12 06:00:00,Karnataka,Bengaluru,Urban,6,3,1,0,8.89,5.09,1144.06
2023-01-12 07:00:00,Uttar Pradesh,Noida,Urban,7,3,1,0,7.1,4.65,940.06
2023-01-12 08:00:00,Uttar Pradesh,Lucknow,Semi-Urban,8,3,1,0,11.67,7.09,725.26
