Datetime,State,City,UrbanRural,Hour,DayOfWeek,Month,IsWeekend,Temperature,Electricity_Price,Hourly_Electricity_Demand,load_t_1,load_t_24,load_t_168,rolling_mean_24,rolling_max_24,rolling_std_24,rolling_mean_168
2023-01-08 10:00:00,Delhi,New Delhi,Urban,10,6,1,1,11.74,6.37,703.17,843.73,789.89,688.96,823.5137500000001,1160.42,178.0893322931793,931.1286904761904
2023-01-08 11:00:00,Tamil Nadu,Chennai,Urban,11,6,1,1,13.56,7.69,779.51,703.17,773.84,794.09,823.75,1160.42,178.02431995559533,931.0419047619048
2023-01-08 12:00:00,Maharashtra,Mumbai,Urban,12,6,1,1,13.76,5.7,817.27,779.51,788.01,734.94,824.9691666666666,1160.42,177.8690426156685,931.5319642857143
2023-01-08 13:00:00,Uttar Pradesh,Noida,Urban,13,6,1,1,8.02,7.94,743.71,817.27,698.81,802.86,826.84,1160.42,176.716800190489,931.1798809523809
2023-01-08 14:00:00,Tamil Nadu,Chennai,Urban,14,6,1,1,10.11,6.37,804.71,743.71,739.85,697.61,829.5424999999999,1160.42,175.82231945792665,931.817380952381
2023-01-08 15:00:00,Uttar Pradesh,Lucknow,Semi-Urban,15,6,1,1,9.68,7.21,428.66,804.71,742.77,794.39,816.4545833333335,1160.42,193.37691186720588,929.6404166666666
2023-01-08 16:00:00,Uttar Pradesh,Noida,Urban,16,6,1,1,7.98,6.15,667.26,428.66,740.54,758.68,813.40125,1160.42,195.19764147524938,929.0962499999999
2023-01-08 17:00:00,Karnataka,Bengaluru,Urban,17,6,1,1,9.87,5.92,790.37,667.26,755.69,798.78,814.8462499999999,1160.42,194.87994966383346,929.0461904761905
2023-01-08 18:00:00,Karnataka,Bengaluru,Urban,18,6,1,1,6.99,5.81,1036.96,790.37,1034.05,781.9,814.9675000000001,1160.42,195.0231158038095,930.5644047619048
2023-01-08 19:00:00,Karnataka,Bengaluru,Urban,19,6,1,1,10.94,4.66,973.51,1036.96,1062.17,1017.74,811.2733333333334,1160.42,190.9338019284186,930.3011309523811
2023-01-08 20:00:00,Uttar Pradesh,Noida,Urban,20,6,1,1,12.08,5.11,1015.09,973.51,1145.35,1128.23,805.8458333333333,1160.42,182.69819646230698,929.6276785714286
2023-01-08 21:00:00,Maharashtra,Pune,Urban,21,6,1,1,10.16,7.9,975.76,1015.09,1160.42,1035.96,798.1516666666666,1039.04,170.6045124452067,929.2693452380952
2023-01-08 22:00:00,Delhi,New Delhi,Urban,22,6,1,1,9.46,4.34,994.67,975.76,1039.04,950.62,796.3029166666666,1036.96,168.102702755583,929.5315476190475
2023-01-08 23:00:00,Uttar Pradesh,Noida,Urban,23,6,1,1,15.15,4.27,752.96,994.67,673.48,487.19,799.6145833333334,1036.96,166.35162572823734,931.1135119047619
2023-01-09 00:00:00,Karnataka,Bengaluru,Urban,0,0,1,0,10.4,4.82,892.78,752.96,807.19,918.05,803.1808333333333,1036.96,167.43500106573916,930.9630952380952
2023-01-09 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,0,1,0,9.93,6.26,572.83,892.78,454.1,852.23,808.1279166666667,1036.96,158.17020845689342,929.3
2023-01-09 02:00:00,Maharashtra,Mumbai,Urban,2,0,1,0,9.49,6.1,975.2,572.83,709.15,948.43,819.2133333333335,1036.96,160.24124738131206,929.4593452380951
2023-01-09 03:00:00,Tamil Nadu,Chennai,Urban,3,0,1,0,8.87,7.06,721.59,975.2,770.1,887.21,817.1920833333334,1036.96,161.19082186028075,928.4735119047618
2023-01-09 04:00:00,Tamil Nadu,Chennai,Urban,4,0,1,0,10.58,7.78,887.26,721.59,702.63,885.4,824.8850000000001,1036.96,159.88606853958066,928.4845833333334
2023-01-09 05:00:00,Maharashtra,Pune,Urban,5,0,1,0,10.13,7.2,947.58,887.26,875.28,878.97,827.8975,1036.96,161.54934180291954,928.8929761904762
2023-01-09 06:00:00,Tamil Nadu,Chennai,Urban,6,0,1,0,12.44,5.02,941.28,947.58,576.32,1024.31,843.1041666666666,1036.96,153.83120252029684,928.3987500000001
2023-01-09 07:00:00,Karnataka,Bengaluru,Urban,7,0,1,0,15.14,5.36,1057.45,941.28,993.84,1042.68,845.7545833333334,1057.45,157.0553967340731,928.4866666666666
2023-01-09 08:00:00,Uttar Pradesh,Lucknow,Semi-Urban,8,0,1,0,10.29,6.88,798.91,1057.45,974.8,966.32,838.4258333333333,1057.45,154.86035608325292,927.4901785714286
2023-01-09 09:00:00,Karnataka,Bengaluru,Urban,9,0,1,0,11.63,7.42,1002.98,798.91,843.73,1067.25,845.0612500000001,1057.45,158.46725582256664,927.1076190476191
2023-01-09 10:00:00,Karnataka,Bengaluru,Urban,10,0,1,0,9.45,5.3,847.12,1002.98,703.17,953.29,851.0591666666666,1057.45,155.56080153171106,926.4756547619048
2023-01-09 11:00:00,Maharashtra,Mumbai,Urban,11,0,1,0,12.73,7.39,938.5,847.12,779.51,961.59,857.68375,1057.45,155.7665647500186,926.3382142857143
2023-01-09 12:00:00,Uttar Pradesh,Lucknow,Semi-Urban,12,0,1,0,6.66,7.57,688.23,938.5,817.27,869.05,852.3070833333333,1057.45,159.4067287729088,925.2619047619048
2023-01-09 13:00:00,Uttar Pradesh,Noida,Urban,13,0,1,0,12.01,5.45,874.63,688.23,743.71,880.53,857.7620833333334,1057.45,157.76047289645936,925.2267857142856
2023-01-09 14:00:00,Tamil Nadu,Chennai,Urban,14,0,1,0,9.05,7.1,950.78,874.63,804.71,871.69,863.8483333333334,1057.45,158.44094048947198,925.6975595238096
2023-01-09 15:00:00,Delhi,New Delhi,Urban,15,0,1,0,6.49,7.79,872.75,950.78,428.66,865.88,882.3520833333332,1057.45,128.51226488512987,925.7384523809524
2023-01-09 16:00:00,Tamil Nadu,Chennai,Urban,16,0,1,0,11.94,7.2,898.45,872.75,667.26,886.5,891.985,1057.45,120.07638072783354,925.8095833333334
2023-01-09 17:00:00,Delhi,New Delhi,Urban,17,0,1,0,14.56,6.97,760.8,898.45,790.37,855.72,890.7529166666667,1057.45,121.30973993940736,925.2445833333334
2023-01-09 18:00:00,Maharashtra,Mumbai,Urban,18,0,1,0,7.28,6.58,1176.53,760.8,1036.96,1173.88,896.5683333333335,1176.53,131.53766059050605,925.2603571428571
2023-01-09 19:00:00,Tamil Nadu,Chennai,Urban,19,0,1,0,12.21,7.29,1257.57,1176.53,973.51,1209.23,908.4041666666667,1257.57,150.2157416609644,925.5480952380951
2023-01-09 20:00:00,Uttar Pradesh,Noida,Urban,20,0,1,0,6.74,6.22,1227.59,1257.57,1015.09,1207.62,917.2583333333333,1257.57,162.53506735114286,925.6669642857142
2023-01-09 21:00:00,Delhi,New Delhi,Urban,21,0,1,0,13.62,4.43,1198.96,1227.59,975.76,1156.64,926.5583333333334,1257.57,172.1303260971721,925.9188690476192
2023-01-09 22:00:00,Uttar Pradesh,Lucknow,Semi-Urban,22,0,1,0,13.24,6.66,978.52,1198.96,994.67,1211.61,925.8854166666666,1257.57,171.88386863074433,924.5314285714286
2023-01-09 23:00:00,Maharashtra,Mumbai,Urban,23,0,1,0,9.35,7.08,957.15,978.52,752.96,958.43,934.3933333333333,1257.57,167.9609843066994,924.5238095238095
2023-01-10 00:00:00,Maharashtra,Pune,Urban,0,1,1,0,10.29,4.27,888.87,957.15,892.78,923.69,934.2304166666668,1257.57,168.00499333881515,924.3165476190476
2023-01-10 01:00:00,Karnataka,Bengaluru,Urban,1,1,1,0,8.15,6.88,832.42,888.87,572.83,898.74,945.0466666666666,1257.57,151.24668857795552,923.9217857142858
2023-01-10 02:00:00,Karnataka,Bengaluru,Urban,2,1,1,0,9.74,7.82,927.76,832.42,975.2,994.84,943.07,1257.57,151.14544259550556,923.5225
2023-01-10 03:00:00,Uttar Pradesh,Noida,Urban,3,1,1,0,11.22,4.21,824.04,927.76,721.59,936.02,947.3387499999999,1257.57,145.97664313803008,922.8559523809523
2023-01-10 04:00:00,Karnataka,Bengaluru,Urban,4,1,1,0,6.62,7.08,949.36,824.04,887.26,641.36,949.92625,1257.57,145.414713292183,924.6892857142858
2023-01-10 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,1,1,0,10.36,5.98,583.26,949.36,947.58,1036.01,934.74625,1257.57,163.55471757747554,921.9943452380952
2023-01-10 06:00:00,Karnataka,Bengaluru,Urban,6,1,1,0,8.11,4.3,1165.15,583.26,941.28,1074.12,944.0741666666667,1257.57,170.1927688628056,922.5361904761905
2023-01-10 07:00:00,Maharashtra,Mumbai,Urban,7,1,1,0,11.97,7.85,1020.28,1165.15,1057.45,1085.7,942.5254166666667,1257.57,169.2828851355588,922.1467857142858
2023-01-10 08:00:00,Delhi,New Delhi,Urban,8,1,1,0,9.85,4.74,1081.03,1020.28,798.91,827.33,954.2804166666666,1257.57,168.67073670781758,923.6569047619048
2023-01-10 09:00:00,Karnataka,Bengaluru,Urban,9,1,1,0,11.63,6.64,1080.93,1081.03,1002.98,974.26,957.5283333333333,1257.57,170.3909944973532,924.2918452380952
2023-01-10 10:00:00,Delhi,New Delhi,Urban,10,1,1,0,10.53,6.77,936.72,1080.93,847.12,837.71,961.2616666666667,1257.57,168.84126493522692,924.8811904761906
2023-01-10 11:00:00,Delhi,New Delhi,Urban,11,1,1,0,10.86,4.72,910.38,936.72,938.5,907.69,960.09,1257.57,169.10345127992676,924.8972023809524
2023-01-10 12:00:00,Uttar Pradesh,Noida,Urban,12,1,1,0,7.84,7.7,952.66,910.38,688.23,902.57,971.1079166666667,1257.57,158.9286624210662,925.1953571428572
2023-01-10 13:00:00,Maharashtra,Mumbai,Urban,13,1,1,0,9.92,7.45,934.08,952.66,874.63,863.59,973.585,1257.57,157.8189895445713,925.6149404761904
2023-01-10 14:00:00,Karnataka,Bengaluru,Urban,14,1,1,0,11.88,4.15,874.2,934.08,950.78,874.48,970.3941666666668,1257.57,159.06932120022827,925.6132738095238
2023-01-10 15:00:00,Karnataka,Bengaluru,Urban,15,1,1,0,8.29,7.54,1037.09,874.2,872.75,1092.64,977.2416666666668,1257.57,158.2181705792644,925.2826190476192
2023-01-10 16:00:00,Karnataka,Bengaluru,Urban,16,1,1,0,12.51,4.26,855.27,1037.09,898.45,865.64,975.4425,1257.57,159.39423796933823,925.2208928571428
2023-01-10 17:00:00,Delhi,New Delhi,Urban,17,1,1,0,14.08,6.95,924.26,855.27,760.8,824.96,982.2533333333334,1257.57,153.1956660093813,925.8119642857143
2023-01-10 18:00:00,Delhi,New Delhi,Urban,18,1,1,0,10.53,4.93,1244.48,924.26,1176.53,1106.64,985.0845833333333,1257.57,157.50941945550457,926.6324404761905
2023-01-10 19:00:00,Karnataka,Bengaluru,Urban,19,1,1,0,10.16,7.76,1253.27,1244.48,1257.57,1254.45,984.9054166666666,1253.27,157.18810954530713,926.6254166666668
2023-01-10 20:00:00,Karnataka,Bengaluru,Urban,20,1,1,0,9.95,6.32,1172.24,1253.27,1227.59,1238.84,982.5991666666665,1253.27,153.8431060166185,926.2289880952382
2023-01-10 21:00:00,Tamil Nadu,Chennai,Urban,21,1,1,0,6.64,6.95,1112.07,1172.24,1198.96,1221.9,978.9787499999999,1253.27,149.49090966437575,925.5752380952382
2023-01-10 22:00:00,Delhi,New Delhi,Urban,22,1,1,0,9.4,5.15,1159.76,1112.07,978.52,1241.44,986.5304166666666,1253.27,153.97716141996258,925.0890476190477
2023-01-10 23:00:00,Tamil Nadu,Chennai,Urban,23,1,1,0,11.33,5.11,980.7,1159.76,957.15,800.47,987.5116666666668,1253.27,153.8567798075651,926.1618452380952
2023-01-11 00:00:00,Uttar Pradesh,Noida,Urban,0,2,1,0,8.09,7.83,886.24,980.7,888.87,866.13,987.4020833333333,1253.27,153.9310099272076,926.2815476190477
2023-01-11 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,2,1,0,11.13,7.93,523.37,886.24,832.42,882.84,974.5250000000001,1253.27,178.4359645704135,924.1418452380954
2023-01-11 02:00:00,Karnataka,Bengaluru,Urban,2,2,1,0,9.81,5.61,902.72,523.37,927.76,945.89,973.4816666666666,1253.27,178.79413923053616,923.884880952381
2023-01-11 03:00:00,Uttar Pradesh,Lucknow,Semi-Urban,3,2,1,0,11.24,4.48,574.81,902.72,824.04,911.45,963.0970833333334,1253.27,194.4073551005982,921.8810714285715
2023-01-11 04:00:00,Karnataka,Bengaluru,Urban,4,2,1,0,8.96,4.75,870.05,574.81,949.36,929.99,959.7925,1253.27,195.32292316883172,921.5242857142856
2023-01-11 05:00:00,Karnataka,Bengaluru,Urban,5,2,1,0,10.94,6.52,925.41,870.05,583.26,626.23,974.0487499999999,1253.27,178.39887844043272,923.3051190476191
2023-01-11 06:00:00,Delhi,New Delhi,Urban,6,2,1,0,15.0,6.1,1073.48,925.41,1165.15,1050.51,970.2291666666666,1253.27,175.07990977828086,923.4418452380953
2023-01-11 07:00:00,Karnataka,Bengaluru,Urban,7,2,1,0,12.84,6.78,1021.46,1073.48,1020.28,1057.41,970.2783333333333,1253.27,175.09474142692656,923.2278571428571
2023-01-11 08:00:00,Karnataka,Bengaluru,Urban,8,2,1,0,8.9,4.9,1081.65,1021.46,1081.03,1056.3,970.3041666666667,1253.27,175.11183698268152,923.3787500000001
2023-01-11 09:00:00,Delhi,New Delhi,Urban,9,2,1,0,13.1,4.37,1139.79,1081.65,1080.93,1155.57,972.7566666666667,1253.27,177.12910962166063,923.2848214285715
2023-01-11 10:00:00,Delhi,New Delhi,Urban,10,2,1,0,7.01,5.91,864.2,1139.79,936.72,894.58,969.7350000000001,1253.27,178.38470532994728,923.1039880952379
2023-01-11 11:00:00,Karnataka,Bengaluru,Urban,11,2,1,0,11.09,6.2,954.18,864.2,910.38,865.03,971.5600000000001,1253.27,177.974641354372,923.6346428571428
2023-01-11 12:00:00,Karnataka,Bengaluru,Urban,12,2,1,0,8.07,4.02,857.33,954.18,952.66,655.84,967.5879166666667,1253.27,179.472294385492,924.833988095238
2023-01-11 13:00:00,Karnataka,Bengaluru,Urban,13,2,1,0,9.93,4.32,989.73,857.33,934.08,964.1,969.9066666666666,1253.27,179.38002595089813,924.9865476190478
2023-01-11 14:00:00,Tamil Nadu,Chennai,Urban,14,2,1,0,10.09,7.63,951.52,989.73,874.2,966.32,973.1283333333332,1253.27,178.27734372055784,924.8984523809524
2023-01-11 15:00:00,Karnataka,Bengaluru,Urban,15,2,1,0,12.65,6.26,843.41,951.52,1037.09,896.06,965.0583333333333,1253.27,179.63458236016277,924.5850595238096
2023-01-11 16:00:00,Uttar Pradesh,Lucknow,Semi-Urban,16,2,1,0,10.48,6.63,615.28,843.41,855.27,684.4,955.05875,1253.27,192.24859556930323,924.1736309523809
2023-01-11 17:00:00,Delhi,New Delhi,Urban,17,2,1,0,9.47,5.34,886.57,615.28,924.26,870.42,953.4883333333333,1253.27,192.6646076942285,924.2697619047619
2023-01-11 18:00:00,Uttar Pradesh,Lucknow,Semi-Urban,18,2,1,0,8.14,7.53,929.72,886.57,1244.48,1178.02,940.3733333333333,1253.27,182.43672882177088,922.7917857142859
2023-01-11 19:00:00,Uttar Pradesh,Noida,Urban,19,2,1,0,12.08,4.02,1195.26,929.72,1253.27,1087.29,937.9562500000001,1195.26,178.45171729928848,923.4344642857143
2023-01-11 20:00:00,Karnataka,Bengaluru,Urban,20,2,1,0,10.46,4.0,1192.38,1195.26,1172.24,1184.49,938.7954166666667,1195.26,179.64470037752812,923.4814285714286
2023-01-11 21:00:00,Maharashtra,Pune,Urban,21,2,1,0,8.38,4.77,1243.11,1192.38,1112.07,1193.77,944.2554166666667,1243.11,186.98161134835559,923.775119047619
2023-01-11 22:00:00,Uttar Pradesh,Noida,Urban,22,2,1,0,11.31,4.46,1105.37,1243.11,1159.76,1253.26,941.9891666666666,1243.11,184.57015289153813,922.8948214285714
2023-01-11 23:00:00,Maharashtra,Pune,Urban,23,2,1,0,9.22,4.07,866.48,1105.37,980.7,1007.16,937.23,1243.11,185.00067736656243,922.0574404761907
2023-01-12 00:00:00,Delhi,New Delhi,Urban,0,3,1,0,9.81,6.53,913.95,866.48,886.24,612.47,938.3845833333334,1243.11,184.75491982574863,923.8519642857143
2023-01-12 01:00:00,Uttar Pradesh,Lucknow,Semi-Urban,1,3,1,0,8.89,7.08,624.59,913.95,523.37,983.76,942.6020833333332,1243.11,175.80792260871726,921.7140476190476
2023-01-12 02:00:00,Tamil Nadu,Chennai,Urban,2,3,1,0,12.15,4.27,848.67,624.59,902.72,924.8,940.35,1243.11,176.6850207228277,921.260892857143
2023-01-12 03:00:00,Maharashtra,Pune,Urban,3,3,1,0,12.39,4.18,823.84,848.67,574.81,911.6,950.72625,1243.11,160.8909719361016,920.7385119047619
2023-01-12 04:00:00,Maharashtra,Pune,Urban,4,3,1,0,8.88,7.03,918.86,823.84,870.05,911.87,952.7600000000001,1243.11,160.1335508934311,920.780119047619
2023-01-12 05:00:00,Uttar Pradesh,Lucknow,Semi-Urban,5,3,1,0,9.1,7.28,656.34,918.86,925.41,968.01,941.54875,1243.11,171.17033566425286,918.9249404761906
2023-01-12 06:00:00,Karnataka,Bengaluru,Urban,6,3,1,0,8.89,5.09,1144.06,656.34,1073.48,1128.5,944.4895833333334,1243.11,174.11651712172915,919.0175595238096
2023-01-12 07:00:00,Uttar Pradesh,Noida,Urban,7,3,1,0,7.1,4.65,940.06,1144.06,1021.46,975.4,941.0979166666667,1243.11,173.3430890253842,918.8072023809525
2023-01-12 08:00:00,Uttar Pradesh,Lucknow,Semi-Urban,8,3,1,0,11.67,7.09,725.26,940.06,1081.65,1088.54,926.2483333333333,1243.11,176.0235761053828,916.6448214285714
2023-01-12 09:00:00,Tamil Nadu,Chennai,Urban,9,3,1,0,7.44,7.8,1093.62,725.26,1139.79,1007.79,924.3245833333334,1243.11,173.8269125102965,917.1557142857143
2023-01-12 10:00:00,Tamil Nadu,Chennai,Urban,10,3,1,0,6.31,5.28,871.67,1093.62,864.2,929.95,924.6358333333333,1243.11,173.72122988373872,916.8088095238096
2023-01-12 11:00:00,Maharashtra,Mumbai,Urban,11,3,1,0,10.71,6.86,885.6,871.67,954.18,614.26,921.7783333333332,1243.11,173.77815474525738,918.4239285714286
2023-01-12 12:00:00,Maharashtra,Mumbai,Urban,12,3,1,0,15.03,4.64,817.18,885.6,857.33,920.31,920.1054166666667,1243.11,174.61679019272486,917.8100595238095
2023-01-12 13:00:00,Delhi,New Delhi,Urban,13,3,1,0,10.69,7.08,922.84,817.18,989.73,990.8,917.3183333333333,1243.11,173.98988050700112,917.4055357142857
2023-01-12 14:00:00,Maharashtra,Pune,Urban,14,3,1,0,11.03,7.87,887.16,922.84,951.52,869.97,914.6366666666667,1243.11,173.9357933678192,917.5078571428572
2023-01-12 15:00:00,Tamil Nadu,Chennai,Urban,15,3,1,0,9.82,4.47,972.01,887.16,843.41,847.96,919.995,1243.11,173.62673163752862,918.2462499999999
2023-01-12 16:00:00,Delhi,New Delhi,Urban,16,3,1,0,7.15,6.23,930.31,972.01,615.28,907.52,933.12125,1243.11,161.04057955554836,918.3819047619048
2023-01-12 17:00:00,Delhi,New Delhi,Urban,17,3,1,0,10.89,5.3,850.23,930.31,886.57,993.81,931.6070833333333,1243.11,161.66692621019786,917.527261904762
2023-01-12 18:00:00,Maharashtra,Pune,Urban,18,3,1,0,10.59,4.6,1197.96,850.23,929.72,1233.98,942.78375,1243.11,170.55851625742622,917.3128571428572
2023-01-12 19:00:00,Uttar Pradesh,Noida,Urban,19,3,1,0,8.13,7.9,1280.94,1197.96,1195.26,1273.83,946.3537499999999,1280.94,176.85345035570364,917.3551785714286
2023-01-12 20:00:00,Karnataka,Bengaluru,Urban,20,3,1,0,11.57,7.12,1221.27,1280.94,1192.38,1176.54,947.5575,1280.94,178.68961908121926,917.6214285714285
2023-01-12 21:00:00,Karnataka,Bengaluru,Urban,21,3,1,0,8.07,4.97,1197.61,1221.27,1243.11,1166.11,945.6616666666667,1280.94,175.6328001620243,917.8089285714287
2023-01-12 22:00:00,Delhi,New Delhi,Urban,22,3,1,0,9.35,5.93,1202.38,1197.61,1105.37,1213.94,949.7037500000001,1280.94,180.5166112749616,917.740119047619
2023-01-12 23:00:00,Tamil Nadu,Chennai,Urban,23,3,1,0,11.05,4.04,989.08,1202.38,866.48,875.78,954.8120833333332,1280.94,179.79235542531833,918.4145238095239
2023-01-13 00:00:00,Tamil Nadu,Chennai,Urban,0,4,1,0,10.13,7.53,860.98,989.08,913.95,940.38,952.605,1280.94,180.6389066137432,917.9419047619049
2023-01-13 01:00:00,Delhi,New Delhi,Urban,1,4,1,0,9.06,5.29,953.76,860.98,624.59,868.14,966.3204166666668,1280.94,166.6018849384249,918.4515476190476
2023-01-13 02:00:00,Maharashtra,Pune,Urban,2,4,1,0,11.84,4.16,927.63,953.76,848.67,925.72,969.6104166666665,1280.94,164.94898748925928,918.4629166666666
2023-01-13 03:00:00,Tamil Nadu,Chennai,Urban,3,4,1,0,10.55,6.83,860.07,927.63,823.84,886.59,971.1199999999999,1280.94,163.7181128860104,918.3050595238095
2023-01-13 04:00:00,Delhi,New Delhi,Urban,4,4,1,0,13.62,7.48,917.9,860.07,918.86,1026.96,971.0799999999999,1280.94,163.73155303993633,917.6558928571428
2023-01-13 05:00:00,Maharashtra,Pune,Urban,5,4,1,0,8.84,7.26,954.45,917.9,656.34,626.26,983.5012499999999,1280.94,149.5059812766697,919.6094047619048
2023-01-13 06:00:00,Karnataka,Bengaluru,Urban,6,4,1,0,10.23,7.27,1097.51,954.45,1144.06,1062.02,981.5616666666666,1280.94,147.62253264636618,919.8206547619047
2023-01-13 07:00:00,Maharashtra,Mumbai,Urban,7,4,1,0,10.8,6.93,1159.13,1097.51,940.06,1027.31,990.6895833333333,1280.94,151.66237550327705,920.6052976190476
2023-01-13 08:00:00,Karnataka,Bengaluru,Urban,8,4,1,0,11.3,6.6,1128.37,1159.13,725.26,1116.72,1007.4858333333333,1280.94,143.0667597864612,920.6746428571429
2023-01-13 09:00:00,Delhi,New Delhi,Urban,9,4,1,0,9.36,7.9,1071.21,1128.37,1093.62,1082.29,1006.5520833333334,1280.94,142.55235465333445,920.6086904761905
2023-01-13 10:00:00,Tamil Nadu,Chennai,Urban,10,4,1,0,11.14,5.73,918.76,1071.21,871.67,897.22,1008.5141666666667,1280.94,140.9299666938112,920.7369047619047
2023-01-13 11:00:00,Karnataka,Bengaluru,Urban,11,4,1,0,7.38,6.17,959.92,918.76,885.6,895.54,1011.6108333333333,1280.94,138.91383522409333,921.120119047619
2023-01-13 12:00:00,Karnataka,Bengaluru,Urban,12,4,1,0,7.74,6.72,928.21,959.92,817.18,853.01,1016.2370833333334,1280.94,133.91608837591428,921.5677380952382
2023-01-13 13:00:00,Uttar Pradesh,Noida,Urban,13,4,1,0,12.18,6.91,894.46,928.21,922.84,947.76,1015.0545833333334,1280.94,134.8983537134584,921.2504761904761
2023-01-13 14:00:00,Uttar Pradesh,Noida,Urban,14,4,1,0,6.27,5.48,854.92,894.46,887.16,860.36,1013.71125,1280.94,136.37970738099557,921.2180952380953
2023-01-13 15:00:00,Tamil Nadu,Chennai,Urban,15,4,1,0,16.21,6.06,917.37,854.92,972.01,848.24,1011.4345833333333,1280.94,137.55710444185507,921.6295833333332
2023-01-13 16:00:00,Delhi,New Delhi,Urban,16,4,1,0,13.37,5.95,877.06,917.37,930.31,901.76,1009.2158333333333,1280.94,139.34040157943687,921.4825595238095
2023-01-13 17:00:00,Maharashtra,Mumbai,Urban,17,4,1,0,9.65,5.11,944.18,877.06,850.23,890.14,1013.1304166666665,1280.94,135.95836672462428,921.8042261904761
2023-01-13 18:00:00,Karnataka,Bengaluru,Urban,18,4,1,0,8.22,5.54,1131.85,944.18,1197.96,1168.98,1010.3758333333334,1280.94,132.68102337746964,921.5832142857141
2023-01-13 19:00:00,Maharashtra,Pune,Urban,19,4,1,0,9.02,7.1,1231.13,1131.85,1280.94,1138.6,1008.3004166666666,1231.13,128.59134775407728,922.1339880952381
2023-01-13 20:00:00,Tamil Nadu,Chennai,Urban,20,4,1,0,10.65,5.97,1185.43,1231.13,1221.27,1090.39,1006.8070833333333,1231.13,126.1964002959071,922.6997023809523
2023-01-13 21:00:00,Tamil Nadu,Chennai,Urban,21,4,1,0,13.22,6.32,1117.71,1185.43,1197.61,1150.6,1003.4779166666667,1231.13,121.92565924540835,922.5039285714286
2023-01-13 22:00:00,Tamil Nadu,Chennai,Urban,22,4,1,0,7.69,5.56,1215.96,1117.71,1202.38,1203.97,1004.0437499999999,1231.13,122.91634478685397,922.5752976190475
2023-01-13 23:00:00,Delhi,New Delhi,Urban,23,4,1,0,12.09,4.04,885.24,1215.96,989.08,888.66,999.7170833333333,1231.13,125.27100637796909,922.5549404761904
2023-01-14 00:00:00,Delhi,New Delhi,Urban,0,5,1,1,9.06,7.88,767.33,885.24,860.98,695.92,995.815,1231.13,131.10323247432646,922.9800000000001
2023-01-14 01:00:00,Karnataka,Bengaluru,Urban,1,5,1,1,9.7,5.32,799.78,767.33,953.76,644.47,989.3991666666666,1231.13,136.89070730733093,923.9044642857143
2023-01-14 02:00:00,Uttar Pradesh,Noida,Urban,2,5,1,1,8.23,5.8,771.21,799.78,927.63,749.84,982.8816666666667,1231.13,143.52247624816712,924.0316666666668
2023-01-14 03:00:00,Karnataka,Bengaluru,Urban,3,5,1,1,7.41,6.42,674.37,771.21,860.07,829.1,975.1441666666668,1231.13,154.97966438597135,923.1106547619047
2023-01-14 04:00:00,Uttar Pradesh,Noida,Urban,4,5,1,1,12.43,7.22,745.52,674.37,917.9,735.53,967.9616666666667,1231.13,161.60099285819234,923.170119047619
